credential_name	credential_type	credential_args
import-unixSyb-good	SybaseConnection	sybPassword<BDNA,1>sybase<BDNA,>sybUser<BDNA,1>sa
import-unixSyb-bad	SybaseConnection	sybPassword<BDNA,1>sybase<BDNA,>sybUser<BDNA,1>badpasswd
import-telnet-good	telnet	password<BDNA,1>passwd1<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-telnet-good/bdnaWorkingDirectory
import-telnet-bad1	telnet	password<BDNA,1>passwd123<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-telnet-bad1/bdnaWorkingDirectory
import-ssh-good	ssh	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-good-bdnatest/bdnaWorkingDirectory
import-ssh-websphere	ssh	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>root<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-websphere/bdnaWorkingDirectory
import-ssh-db2	ssh	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>db2inst1<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-db2/bdnaWorkingDirectory
import-ssh-bad1	ssh	password<BDNA,1>passwd1234<BDNA,>userName<BDNA,1>bdnatest=!<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-bad1/bdnaWorkingDirectory
import-ssh-bad2	ssh	password<BDNA,1>badpass=wd2<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-bad2/bdnaWorkingDirectory
import-ssh-bad3	ssh	password<BDNA,1>badpass;wd3<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-bad3/bdnaWorkingDirectory
import-ssh-bad4	ssh	password<BDNA,1>pass<!-wd4<BDNA,>userName<BDNA,1>bdnatest<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-ssh-bad4/bdnaWorkingDirectory
import-sshWithKey-good	sshWithKey	password<BDNA,1>passwd123<BDNA,>userName<BDNA,1>bdnatest<BDNA,>privateKey<BDNA,1>&#45&#45&#45&#45&#45BEGIN&#32DSA&#32PRIVATE&#32KEY&#45&#45&#45&#45&#45&#10MIIBugIBAAKBgQCR992NRBNp8fIDd9Nas+cvOrIc7MmIWZBVWLYHIb93tHr/kGvX&#10ui2kgNh7Avl9bc6P1w+L6fo81nilGZCJcGPRSBwMjTz2HZIst3/LroiuFzrfYQ0q&#10IwRWRcSOxBi6wF/PQl51Rt98uCoYqPioIxmn+rXYovK7e6dTC7NvogTVSwIVANrt&#10nBVrL2SK+D/55UqrXyX3iKrBAoGAQLJf0GK4PL22mwDBFmtzVM9S4lqq226kC73o&#10kmk54FG9EDqtrtozZ9YOAm3OwNBVzsHgO/4IptvWKY/l0NxAltskI6eRom2yGncz&#10TqHUMJJqfb7tsBDLgaDWvZJvmuk1rA0mxpmv12r+wcFulIt89FgAF8i7oe2fkFOB&#108tBrZ4QCgYAnAO+RzjaIs+f63VfND7Kea9DTwEVBE0pRgVOnHw7yszNWPSU6oki5&#10QQuaDP8dukhORBfFP+2A2jCaihECxIp04JhofiHnesEcPCf3wCvuNUZVrdf0O/nH&#10pN5vlfC/XLd+Bb5qSYhjaGd4hbjpfdHk7u/Il+jPOhlN6Qs0zt7PawIUHP2WZMh/&#10ClScA9K9oUzHdkUD4+w&#61&#10&#45&#45&#45&#45&#45END&#32DSA&#32PRIVATE&#32KEY&#45&#45&#45&#45&#45<BDNA,>usePassword<BDNA,1>0<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-sshWithKey-good/bdnaWorkingDirectory
import-sshWithGenOpenSSHKey-bad	sshWithGenerationalOpenSSHKey	password<BDNA,1>ssh1<BDNA,>userName<BDNA,1>ssh1<BDNA,>privateKey<BDNA,1>foobar<BDNA,>usePassword<BDNA,1>1<BDNA,>BootstrapKeyRE<BDNA,1>bootfoo<BDNA,>GenerationalPublicKey<BDNA,1>GenFoo<BDNA,>GenerationalPublicKeyRE<BDNA,1>GenPubFoo<BDNA,>GenerationalPublicKeyTimestamp<BDNA,1>1178524985745<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-sshWithGenOpenSSHKey-bad/bdnaWorkingDirectory
import-adm-ssh-db2	ssh	password<BDNA,1>db2inst1<BDNA,>userName<BDNA,1>db2inst1<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-adm-ssh-db2/bdnaWorkingDirectory
import-adm-qa-ssh-root	ssh	userName<BDNA,1>root<BDNA,>password<BDNA,1>bdna<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-adm-qa-ssh-root/bdnaWorkingDirectory
import-XenServer-good	ssh	userName<BDNA,1>root<BDNA,>password<BDNA,1>n1md@345<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-XenServer-good/bdnaWorkingDirectory
import-oracle-vm-guest-root	ssh	password<BDNA,1>ovsroot<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-oracle-vm-guest-root/bdnaWorkingDirectory<BDNA,>userName<BDNA,1>root
import-oracle-vm-server	ssh	password<BDNA,1>passwd1<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-oracle-vm-server/bdnaWorkingDirectory<BDNA,>userName<BDNA,1>bdnatest
import-XenServer-bdnatest	ssh	workingDir<BDNA,1>/tmp/qabit/import-XenServer-bdnatest/bdnaWorkingDirectory<BDNA,>password<BDNA,1>passwd1<BDNA,>userName<BDNA,1>bdnatest
import-xen-guest-root	ssh	password<BDNA,1>bdna<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-xen-guest-root/bdnaWorkingDirectory<BDNA,>userName<BDNA,1>root
import-adm-ssh-bdnatest	ssh	userName<BDNA,1>bdnatest<BDNA,>password<BDNA,1>passwd1<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-adm-ssh-bdnatest/bdnaWorkingDirectory
import-unixOra-manager	OracleConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>system<BDNA,>schemaPassword<BDNA,1>manager<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-unixOra-bdna	OracleConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>system<BDNA,>schemaPassword<BDNA,1>bdna<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-unixOra-bad1	OracleConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>system1<BDNA,>schemaPassword<BDNA,1>bdna<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-unixOra-bad2	OracleConnection	OSAuthentication<BDNA,1>0<BDNA,>schemaName<BDNA,1>system2<BDNA,>schemaPassword<BDNA,1>bdna<BDNA,>useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1
import-adm-oracle-system	OracleConnection	useSchemaName<BDNA,1>1<BDNA,>useSchemaPassword<BDNA,1>1<BDNA,>schemaName<BDNA,1>system<BDNA,>schemaPassword<BDNA,1>bdna<BDNA,>OSAuthentication<BDNA,1>0
import-adm-weblogic	UNIXWebLogicL3Connection	wlUserName<BDNA,1>weblogic<BDNA,>wlPort<BDNA,1>7101<BDNA,>wlPassword<BDNA,1>weblogic
import-adm-qa-weblogic1	UNIXWebLogicL3Connection	wlUserName<BDNA,1>weblogic_bdna<BDNA,>wlPort<BDNA,1>7001<BDNA,>wlPassword<BDNA,1>weblogic_bdna
import-adm-qa-weblogic2	UNIXWebLogicL3Connection	wlUserName<BDNA,1>weblogic_bdna2<BDNA,>wlPort<BDNA,1>7003<BDNA,>wlPassword<BDNA,1>weblogic_bdna2
import-websphereUnix	UNIXWASConnection	OSAuthentication<BDNA,1>1<BDNA,>useWASPassword<BDNA,1>0<BDNA,>useWASName<BDNA,1>0<BDNA,>wasUser<BDNA,1>NO_NAME_SPECIFIED<BDNA,>wasPassword<BDNA,1>NO_PASSWORD_SPECIFIED<BDNA,>
import-adm-qa-websphere1	UNIXWASConnection	OSAuthentication<BDNA,1>0<BDNA,>useWASPassword<BDNA,1>1<BDNA,>useWASName<BDNA,1>1<BDNA,>wasUser<BDNA,1>was_user<BDNA,>wasPassword<BDNA,1>bdna<BDNA,>
import-wincs-admin-bdna	defaultwincs	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>.\administrator
import-wincs-admin-bdna123	defaultwincs	password<BDNA,1>bdna123<BDNA,>userName<BDNA,1>.\administrator
import-wincs-admin-simple0	defaultwincs	password<BDNA,1>Simple.0<BDNA,>userName<BDNA,1>.\administrator
import-wincs-bituser3	defaultwincs	password<BDNA,1>n1md@345<BDNA,>userName<BDNA,1>.\bituser3
import-wincs-bituser2	defaultwincs	password<BDNA,1>n1md@345<BDNA,>userName<BDNA,1>.\bituser2
import-wincs-itself	defaultwincs	password<BDNA,1>.<BDNA,>userName<BDNA,1>.
import-wincs-baduser	defaultwincs	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>.\baduser
import-wincs-bdnauser	defaultwincs	password<BDNA,1>bdna<BDNA,>userName<BDNA,1>bdnacorp\bdnauser
import-wincs-admin-win2008	defaultwincs	password<BDNA,1>n1md@345<BDNA,>userName<BDNA,1>.\administrator
import-adm-wincs-admin	defaultwincs	userName<BDNA,1>.\administrator<BDNA,>password<BDNA,1>bdna
import-ms-virtual-server	defaultwincs	password<BDNA,1>bdna123<BDNA,>userName<BDNA,1>.\administrator
import-xen-app-bdnatest	defaultwincs	password<BDNA,1>Evaluation1<BDNA,>userName<BDNA,1>.\bdnatest
import-winOra-bdna	winOracleConnection	TemporaryDirectory<BDNA,1>%TMP%<BDNA,>schemaName<BDNA,1>system<BDNA,>schemaPassword<BDNA,1>bdna
import-winOra-bdna123	winOracleConnection	TemporaryDirectory<BDNA,1>%TMP%<BDNA,>schemaName<BDNA,1>system<BDNA,>schemaPassword<BDNA,1>bdna123
import-winOra-mynavy	winOracleConnection	TemporaryDirectory<BDNA,1>%TMP%<BDNA,>schemaName<BDNA,1>mynavy<BDNA,>schemaPassword<BDNA,1>bdna123
import-winOra-myoracle	winOracleConnection	TemporaryDirectory<BDNA,1>%TMP%<BDNA,>schemaName<BDNA,1>myoracle<BDNA,>schemaPassword<BDNA,1>bdna
import-winOra-bad	winOracleConnection	TemporaryDirectory<BDNA,1>%TMP%<BDNA,>schemaName<BDNA,1>mynavy<BDNA,>schemaPassword<BDNA,1>badpasswd
import-alom-good	alom	userName<BDNA,1>root<BDNA,>password<BDNA,1>n1md@345
import-alom-bad	alom	userName<BDNA,1>root<BDNA,>password<BDNA,1>badalompass
import-ilom-good	ilom	userName<BDNA,1>root<BDNA,>password<BDNA,1>changeme
import-ilom-bad	ilom	userName<BDNA,1>root<BDNA,>password<BDNA,1>badilompass
import-ESX-root2	esx	password<BDNA,1>n1md@345<BDNA,>port<BDNA,1>443<BDNA,>protocol<BDNA,1>https<BDNA,>userName<BDNA,1>root
import-mssql-good2	MSSQLServerConnection	dbUserName<BDNA,1>sa<BDNA,>dbUserPassword<BDNA,1>n1md@345<BDNA,>OSAuthentication<BDNA,1>0
import-Tru64-ssh-root	ssh	userName<BDNA,1>root<BDNA,>password<BDNA,1>bdna123<BDNA,>workingDir<BDNA,1>/tmp/qabit/import-Tru64-ssh-root/bdnaWorkingDirectory
import-vCenter-good	vCenter	protocol<BDNA,1>https<BDNA,>port<BDNA,1>443<BDNA,>userName<BDNA,1>administrator<BDNA,>password<BDNA,1>Simple.0
import-hyperv-good1	hypervwincs	userName<BDNA,1>.\administrator<BDNA,>password<BDNA,1>n1md@345
import-hyperv-good2	hypervwincs	userName<BDNA,1>.\administrator<BDNA,>password<BDNA,1>Simple.0
import-hyperv-bad	hypervwincs	userName<BDNA,1>.\administrator<BDNA,>password<BDNA,1>badpass
